iter	RMSE
0	35727062.02
1	34993546.72
2	34300548.6
3	33634580.09
4	32986289.15
5	32355085.98
6	31736789.46
7	31107849.75
8	30492559.99
9	29909566.2
10	29321432.11
11	28737824.8
12	28186684.99
13	27664173.24
14	27117398.58
15	26620088.09
16	26131676.23
17	25627453.38
18	25143002.12
19	24667808.5
20	24210445.3
21	23778317.3
22	23336503.33
23	22923162.32
24	22507149.39
25	22112378.5
26	21705938.42
27	21314594.94
28	20930883
29	20570636.32
30	20221322.84
31	19868863.86
32	19528106.74
33	19190131.84
34	18866737.23
35	18551243.7
36	18246743.4
37	17940763.95
38	17639758.47
39	17354701.68
40	17074473.17
41	16797428.32
42	16535699.26
43	16273452.84
44	16024360.35
45	15780273.13
46	15537236.7
47	15308225.58
48	15080722.82
49	14856849.55
50	14643726.34
51	14437930.01
52	14232002.57
53	14036368.82
54	13842341
55	13659685.74
56	13480192.36
57	13305883.53
58	13132045.02
59	12962451.74
60	12801515.05
61	12643674.25
62	12489092.53
63	12341108.4
64	12227114.61
65	12088008.89
66	11949554.87
67	11816753.34
68	11686604.3
69	11562544.73
70	11441977.6
71	11214526.4
72	10986334.96
73	10873859.73
74	10764969.15
75	10695934.04
76	10482455.32
77	10274264.76
78	10176675.47
79	9974017.983
80	9879192.341
81	9787782.718
82	9698003.14
83	9613139.058
84	9528635.229
85	9341959.549
86	9159446.168
87	8978042.135
88	8802579.371
89	8629293.81
90	8460989.782
91	8297505.652
92	8137934.556
93	7977827.563
94	7822498.842
95	7670583.185
96	7523791.209
97	7380683.242
98	7239239.071
99	7102542.305
100	7043817.591
101	6909021.689
102	6777198.69
103	6648366.943
104	6524435.174
105	6403319.547
106	6283937.803
107	6175924.623
108	6126154.525
109	6022364.35
110	5910420.591
111	5800599.721
112	5695214.541
113	5592399.342
114	5490319.473
115	5389976.799
116	5292024.001
117	5196306.83
118	5112615.018
119	5021113.914
120	4931579.657
121	4845948.814
122	4760441.474
123	4724979.743
124	4642247.207
125	4561466.6
126	4482633.036
127	4414636.983
128	4348840.571
129	4318229.484
130	4255112.367
131	4183228.704
132	4116301.64
133	4047677.783
134	3980770.865
135	3915528.412
136	3851891.448
137	3789853.033
138	3729328.024
139	3678794.676
140	3654081.039
141	3605648.424
142	3582674.537
143	3536335.432
144	3491543.852
145	3438250.705
146	3380556.172
147	3329670.991
148	3280117.705
149	3231881.127
150	3184925.521
151	3147709.515
152	3102941.884
153	3059398.287
154	3040872.883
155	3022514.92
156	2969922.079
157	2929213.098
158	2889619.261
159	2851141.387
160	2820971.887
161	2805579.571
162	2776646.138
163	2734605.604
164	2718898.31
165	2684435.625
166	2650949.662
167	2637301.888
168	2595203.504
169	2581453.836
170	2556844.27
171	2516455.474
172	2504674.804
173	2492195.058
174	2455137.08
175	2442338.369
176	2430182.808
177	2418436.591
178	2386891.819
179	2375563.655
180	2349588.948
181	2339147.385
182	2317385.44
183	2282858.462
184	2273448.665
185	2264902.048
186	2227011.449
187	2217889.989
188	2186264.06
189	2178238.906
190	2154285.369
191	2126829.18
192	2118513.871
193	2096128.039
194	2088343.774
195	2060382.521
196	2039430.278
197	2032534.9
198	2004600.774
199	1997221.708
200	1970478.288
201	1963469.797
202	1957768.816
203	1934842.284
204	1906190.326
205	1875305.622
206	1852184.033
207	1846851.287
208	1830709.61
209	1808744.711
210	1788621.06
211	1769074.375
212	1755190.766
213	1732149.611
214	1726817.083
215	1709742.972
216	1701718.092
217	1683297.184
218	1678174.567
219	1661922.555
220	1646199.773
221	1623637.349
222	1619047.816
223	1612900.424
224	1593515.757
225	1589903.367
226	1577414.397
227	1570954.385
228	1559884.178
229	1555457.936
230	1542004.707
231	1520290.442
232	1500762.734
233	1481337.981
234	1463143.304
