iter	Passed	Remaining
0	15	15467
1	30	15347
2	46	15526
3	60	15187
4	74	14889
5	91	15130
6	106	15091
7	122	15201
8	139	15308
9	153	15177
10	170	15354
11	187	15417
12	202	15373
13	217	15297
14	233	15337
15	249	15314
16	263	15231
17	279	15264
18	296	15310
19	310	15219
20	325	15180
21	340	15137
22	357	15197
23	373	15185
24	390	15248
25	405	15173
26	419	15115
27	436	15142
28	453	15168
29	468	15144
30	483	15124
31	500	15130
32	516	15127
33	533	15145
34	547	15099
35	563	15094
36	581	15123
37	598	15156
38	615	15165
39	632	15189
40	649	15196
41	665	15177
42	681	15173
43	697	15164
44	712	15123
45	729	15138
46	747	15148
47	760	15086
48	776	15070
49	792	15065
50	809	15058
51	825	15051
52	843	15073
53	859	15055
54	875	15046
55	890	15014
56	906	15001
57	922	14975
58	938	14963
59	954	14956
60	969	14925
61	985	14903
62	1002	14907
63	1018	14902
64	1033	14868
65	1049	14853
66	1066	14849
67	1083	14851
68	1099	14832
69	1115	14822
70	1133	14826
71	1149	14818
72	1165	14796
73	1181	14787
74	1197	14766
75	1212	14741
76	1228	14726
77	1245	14718
78	1259	14686
79	1276	14678
80	1292	14668
81	1308	14652
82	1327	14666
83	1341	14629
84	1357	14613
85	1373	14598
86	1390	14587
87	1405	14569
88	1422	14563
89	1438	14544
90	1454	14531
91	1470	14512
92	1487	14509
93	1503	14489
94	1519	14471
95	1534	14449
96	1550	14437
97	1568	14434
98	1583	14410
99	1599	14393
100	1615	14377
101	1632	14371
102	1647	14349
103	1663	14334
104	1679	14314
105	1695	14299
106	1711	14287
107	1728	14279
108	1744	14257
109	1760	14241
110	1776	14229
111	1791	14203
112	1810	14208
113	1825	14187
114	1842	14177
115	1857	14156
116	1872	14133
117	1888	14115
118	1904	14097
119	1921	14090
120	1938	14080
121	1954	14067
122	1971	14056
123	1986	14037
124	2003	14021
125	2019	14007
126	2035	13989
127	2052	13983
128	2068	13968
129	2085	13957
130	2101	13942
131	2119	13935
132	2135	13922
133	2152	13909
134	2168	13892
135	2183	13874
136	2199	13854
137	2214	13834
138	2230	13816
139	2247	13803
140	2263	13787
141	2279	13770
142	2297	13767
143	2313	13752
144	2330	13741
145	2347	13731
146	2364	13720
147	2380	13703
148	2395	13682
149	2412	13668
150	2428	13652
151	2443	13632
152	2458	13612
153	2474	13593
154	2491	13582
155	2507	13567
156	2525	13562
157	2543	13554
158	2559	13536
159	2575	13519
160	2590	13499
161	2606	13484
162	2623	13470
163	2640	13459
164	2657	13446
165	2672	13426
166	2687	13406
167	2703	13387
168	2719	13374
169	2736	13360
170	2752	13343
171	2768	13327
172	2786	13319
173	2802	13302
174	2819	13289
175	2835	13273
176	2851	13258
177	2866	13239
178	2882	13220
179	2899	13208
180	2914	13186
181	2931	13173
182	2946	13156
183	2963	13141
184	2979	13125
185	2996	13114
186	3025	13152
187	3053	13188
188	3069	13170
189	3088	13164
190	3104	13148
191	3121	13135
192	3137	13120
193	3153	13101
194	3169	13083
195	3184	13061
196	3200	13044
197	3215	13025
198	3232	13011
199	3249	12997
200	3266	12983
201	3282	12969
202	3300	12957
203	3318	12947
204	3335	12935
205	3350	12915
206	3366	12896
207	3382	12879
208	3397	12860
209	3414	12844
210	3431	12830
211	3449	12820
212	3465	12803
213	3481	12788
214	3498	12772
215	3517	12766
216	3533	12749
217	3548	12729
218	3565	12714
219	3582	12701
220	3600	12691
221	3616	12672
222	3632	12657
223	3648	12637
224	3664	12623
225	3680	12606
226	3698	12594
227	3713	12572
228	3728	12553
229	3746	12543
230	3763	12529
231	3779	12512
232	3795	12494
233	3809	12471
234	3826	12456
235	3842	12440
236	3859	12426
237	3875	12408
238	3891	12389
239	3905	12367
240	3922	12352
241	3938	12335
242	3952	12314
243	3969	12298
244	3984	12278
245	4001	12264
246	4019	12252
247	4034	12233
248	4050	12215
249	4067	12203
250	4087	12198
251	4107	12192
252	4126	12183
253	4143	12169
254	4160	12155
255	4175	12136
256	4192	12121
257	4207	12101
258	4223	12084
259	4243	12077
260	4259	12061
261	4277	12047
262	4293	12031
263	4308	12011
264	4324	11995
265	4340	11976
266	4356	11960
267	4373	11944
268	4388	11926
269	4407	11916
270	4422	11898
271	4440	11883
272	4456	11868
273	4471	11849
274	4489	11835
275	4505	11819
276	4521	11802
277	4537	11784
278	4553	11767
279	4568	11747
280	4584	11731
281	4601	11716
282	4617	11698
283	4633	11681
284	4650	11665
285	4666	11649
286	4681	11630
287	4697	11614
288	4713	11595
289	4731	11583
290	4748	11568
291	4763	11550
292	4778	11530
293	4795	11515
294	4811	11499
295	4828	11484
296	4844	11467
297	4859	11448
298	4875	11430
299	4890	11410
300	4906	11393
301	4922	11377
302	4938	11360
303	4955	11346
304	4973	11332
305	4993	11324
306	5009	11308
307	5023	11286
308	5038	11268
309	5054	11250
310	5071	11235
311	5088	11220
312	5104	11203
313	5120	11186
314	5136	11169
315	5152	11152
316	5167	11133
317	5183	11117
318	5198	11098
319	5213	11078
320	5232	11068
321	5249	11052
322	5265	11036
323	5280	11017
324	5295	10999
325	5311	10981
326	5324	10959
327	5342	10944
328	5357	10925
329	5372	10907
330	5388	10889
331	5404	10873
332	5419	10855
333	5435	10838
334	5452	10823
335	5470	10809
336	5487	10795
337	5502	10777
338	5518	10759
339	5532	10739
340	5548	10723
341	5564	10706
342	5581	10690
343	5596	10672
344	5612	10655
345	5628	10638
346	5644	10622
347	5661	10606
348	5676	10588
349	5691	10569
350	5707	10552
351	5722	10535
352	5738	10517
353	5754	10500
354	5770	10484
355	5787	10468
356	5801	10449
357	5819	10435
358	5835	10419
359	5851	10402
360	5866	10383
361	5881	10366
362	5899	10352
363	5915	10335
364	5931	10319
365	5947	10302
366	5964	10286
367	5982	10274
368	5999	10258
369	6015	10243
370	6031	10225
371	6048	10210
372	6064	10194
373	6080	10176
374	6095	10159
375	6111	10142
376	6127	10125
377	6143	10109
378	6157	10089
379	6173	10072
380	6187	10053
381	6204	10037
382	6221	10023
383	6237	10006
384	6252	9987
385	6268	9970
386	6284	9954
387	6301	9940
388	6320	9927
389	6335	9909
390	6351	9893
391	6368	9877
392	6382	9858
393	6397	9839
394	6412	9822
395	6429	9806
396	6446	9791
397	6466	9781
398	6483	9765
399	6499	9749
400	6515	9733
401	6533	9718
402	6548	9700
403	6565	9685
404	6580	9668
405	6597	9652
406	6614	9637
407	6630	9621
408	6645	9603
409	6661	9586
410	6677	9569
411	6692	9551
412	6711	9538
413	6726	9521
414	6743	9505
415	6759	9488
416	6774	9471
417	6791	9455
418	6805	9437
419	6821	9420
420	6839	9406
421	6854	9388
422	6870	9372
423	6885	9354
424	6900	9336
425	6918	9322
426	6935	9306
427	6952	9292
428	6968	9275
429	6984	9259
430	7000	9242
431	7016	9225
432	7032	9208
433	7049	9193
434	7064	9175
435	7079	9157
436	7094	9140
437	7112	9125
438	7127	9108
439	7146	9095
440	7163	9079
441	7178	9062
442	7194	9045
443	7210	9029
444	7227	9013
445	7242	8996
446	7258	8979
447	7275	8963
448	7292	8948
449	7308	8932
450	7323	8914
451	7339	8898
452	7356	8882
453	7372	8866
454	7390	8851
455	7404	8832
456	7420	8816
457	7437	8802
458	7454	8785
459	7469	8768
460	7485	8751
461	7500	8734
462	7515	8716
463	7532	8701
464	7546	8682
465	7563	8667
466	7578	8649
467	7594	8633
468	7609	8615
469	7624	8598
470	7639	8580
471	7653	8562
472	7671	8547
473	7686	8529
474	7702	8512
475	7717	8495
476	7734	8480
477	7750	8463
478	7765	8446
479	7791	8440
480	7825	8443
481	7844	8430
482	7862	8416
483	7879	8400
484	7896	8385
485	7914	8370
486	7929	8353
487	7945	8336
488	7962	8320
489	7977	8303
490	7992	8285
491	8008	8269
492	8024	8252
493	8039	8235
494	8056	8219
495	8073	8203
496	8088	8185
497	8103	8168
498	8119	8152
499	8136	8136
500	8154	8121
501	8170	8105
502	8187	8089
503	8203	8073
504	8220	8057
505	8238	8042
506	8253	8025
507	8270	8010
508	8286	7993
509	8303	7977
510	8321	7963
511	8336	7946
512	8353	7930
513	8369	7913
514	8386	7898
515	8405	7884
516	8422	7868
517	8439	7852
518	8454	7835
519	8471	7819
520	8487	7803
521	8503	7786
522	8519	7769
523	8534	7752
524	8550	7736
525	8565	7718
526	8580	7701
527	8596	7684
528	8610	7666
529	8624	7648
530	8640	7631
531	8655	7614
532	8673	7599
533	8689	7583
534	8705	7566
535	8720	7548
536	8736	7532
537	8754	7518
538	8771	7501
539	8787	7485
540	8803	7469
541	8824	7456
542	8841	7441
543	8861	7428
544	8882	7415
545	8898	7399
546	8913	7382
547	8931	7366
548	8947	7350
549	8964	7334
550	8980	7318
551	8997	7302
552	9012	7285
553	9027	7267
554	9043	7251
555	9058	7233
556	9076	7218
557	9091	7201
558	9106	7184
559	9121	7167
560	9139	7151
561	9160	7139
562	9174	7121
563	9189	7103
564	9202	7085
565	9219	7069
566	9235	7053
567	9251	7036
568	9269	7021
569	9286	7005
570	9301	6988
571	9316	6971
572	9334	6955
573	9348	6938
574	9364	6921
575	9381	6906
576	9398	6889
577	9414	6873
578	9431	6857
579	9447	6841
580	9464	6825
581	9479	6808
582	9494	6791
583	9509	6773
584	9525	6757
585	9540	6739
586	9554	6722
587	9571	6706
588	9588	6690
589	9606	6675
590	9621	6658
591	9638	6642
592	9653	6625
593	9668	6608
594	9684	6592
595	9699	6574
596	9714	6557
597	9730	6541
598	9747	6525
599	9764	6509
600	9779	6492
601	9794	6475
602	9809	6458
603	9822	6440
604	9837	6423
605	9854	6406
606	9869	6390
607	9887	6374
608	9903	6358
609	9918	6341
610	9935	6325
611	9951	6308
612	9967	6292
613	9981	6275
614	9998	6259
615	10013	6242
616	10029	6225
617	10046	6209
618	10061	6193
619	10076	6176
620	10089	6157
621	10103	6140
622	10122	6125
623	10140	6110
624	10156	6094
625	10173	6077
626	10188	6060
627	10203	6043
628	10218	6027
629	10233	6010
630	10249	5993
631	10264	5976
632	10280	5960
633	10296	5944
634	10312	5927
635	10329	5912
636	10345	5895
637	10362	5879
638	10379	5864
639	10396	5847
640	10410	5830
641	10424	5813
642	10441	5797
643	10457	5780
644	10473	5764
645	10491	5749
646	10506	5732
647	10523	5716
648	10540	5700
649	10556	5684
650	10573	5668
651	10588	5651
652	10605	5635
653	10621	5619
654	10637	5602
655	10652	5585
656	10667	5569
657	10684	5553
658	10699	5536
659	10716	5520
660	10732	5504
661	10746	5486
662	10760	5469
663	10776	5453
664	10792	5436
665	10807	5420
666	10821	5402
667	10839	5387
668	10859	5373
669	10876	5356
670	10891	5340
671	10906	5323
672	10922	5307
673	10939	5291
674	10954	5274
675	10969	5257
676	10989	5243
677	11004	5226
678	11020	5209
679	11035	5193
680	11050	5176
681	11064	5159
682	11079	5142
683	11097	5126
684	11114	5111
685	11130	5094
686	11144	5077
687	11162	5061
688	11179	5046
689	11194	5029
690	11211	5013
691	11226	4996
692	11242	4980
693	11257	4963
694	11273	4947
695	11290	4931
696	11307	4915
697	11325	4899
698	11342	4884
699	11359	4868
700	11374	4851
701	11391	4835
702	11408	4819
703	11423	4803
704	11440	4787
705	11456	4770
706	11472	4754
707	11490	4739
708	11505	4722
709	11521	4705
710	11535	4688
711	11553	4673
712	11568	4656
713	11585	4640
714	11602	4624
715	11617	4608
716	11633	4591
717	11648	4575
718	11664	4558
719	11679	4542
720	11695	4525
721	11711	4509
722	11727	4493
723	11744	4477
724	11763	4461
725	11776	4444
726	11793	4428
727	11808	4412
728	11828	4396
729	11843	4380
730	11857	4363
731	11874	4347
732	11889	4330
733	11906	4314
734	11921	4298
735	11936	4281
736	11953	4265
737	11969	4249
738	11985	4232
739	12002	4217
740	12017	4200
741	12033	4184
742	12051	4168
743	12067	4152
744	12085	4136
745	12101	4120
746	12117	4103
747	12133	4087
748	12150	4071
749	12166	4055
750	12183	4039
751	12198	4022
752	12215	4006
753	12232	3991
754	12248	3974
755	12265	3958
756	12280	3942
757	12298	3926
758	12314	3910
759	12330	3893
760	12347	3877
761	12360	3860
762	12375	3843
763	12395	3828
764	12411	3812
765	12427	3796
766	12444	3780
767	12459	3763
768	12474	3747
769	12491	3731
770	12505	3714
771	12523	3698
772	12540	3682
773	12556	3666
774	12575	3650
775	12614	3641
776	12631	3625
777	12649	3609
778	12664	3592
779	12679	3576
780	12694	3559
781	12709	3543
782	12724	3526
783	12741	3510
784	12756	3493
785	12773	3477
786	12789	3461
787	12806	3445
788	12822	3428
789	12835	3411
790	12852	3395
791	12867	3379
792	12883	3363
793	12900	3346
794	12915	3330
795	12930	3313
796	12946	3297
797	12960	3280
798	12974	3264
799	12990	3247
800	13008	3231
801	13026	3216
802	13041	3199
803	13058	3183
804	13074	3167
805	13089	3150
806	13106	3134
807	13122	3118
808	13139	3102
809	13153	3085
810	13167	3068
811	13182	3052
812	13197	3035
813	13214	3019
814	13238	3005
815	13253	2988
816	13270	2972
817	13287	2956
818	13303	2940
819	13320	2924
820	13336	2907
821	13352	2891
822	13370	2875
823	13384	2858
824	13400	2842
825	13414	2825
826	13430	2809
827	13444	2792
828	13461	2776
829	13479	2760
830	13496	2744
831	13511	2728
832	13527	2712
833	13544	2695
834	13566	2680
835	13589	2665
836	13607	2649
837	13624	2633
838	13639	2617
839	13653	2600
840	13669	2584
841	13685	2568
842	13701	2551
843	13717	2535
844	13731	2518
845	13749	2502
846	13766	2486
847	13781	2470
848	13798	2454
849	13814	2437
850	13832	2421
851	13846	2405
852	13864	2389
853	13880	2372
854	13895	2356
855	13911	2340
856	13927	2323
857	13943	2307
858	13963	2292
859	13978	2275
860	13996	2259
861	14013	2243
862	14029	2227
863	14054	2212
864	14072	2196
865	14088	2180
866	14106	2163
867	14122	2147
868	14138	2131
869	14156	2115
870	14170	2098
871	14188	2082
872	14204	2066
873	14219	2050
874	14233	2033
875	14248	2016
876	14264	2000
877	14282	1984
878	14299	1968
879	14315	1952
880	14331	1935
881	14347	1919
882	14362	1903
883	14377	1886
884	14392	1870
885	14406	1853
886	14422	1837
887	14443	1821
888	14458	1805
889	14474	1788
890	14488	1772
891	14504	1756
892	14519	1739
893	14533	1723
894	14549	1706
895	14564	1690
896	14579	1674
897	14595	1657
898	14610	1641
899	14627	1625
900	14643	1608
901	14661	1592
902	14681	1577
903	14696	1560
904	14712	1544
905	14729	1528
906	14744	1511
907	14761	1495
908	14778	1479
909	14795	1463
910	14809	1446
911	14823	1430
912	14840	1414
913	14856	1397
914	14872	1381
915	14887	1365
916	14901	1348
917	14917	1332
918	14934	1316
919	14949	1299
920	14966	1283
921	14981	1267
922	14997	1251
923	15012	1234
924	15027	1218
925	15044	1202
926	15060	1185
927	15077	1169
928	15099	1153
929	15117	1137
930	15134	1121
931	15153	1105
932	15168	1089
933	15182	1072
934	15197	1056
935	15211	1040
936	15225	1023
937	15240	1007
938	15255	991
939	15270	974
940	15284	958
941	15300	942
942	15316	925
943	15333	909
944	15350	893
945	15367	877
946	15385	861
947	15402	844
948	15418	828
949	15433	812
950	15447	795
951	15462	779
952	15478	763
953	15495	747
954	15512	730
955	15527	714
956	15546	698
957	15563	682
958	15578	666
959	15594	649
960	15611	633
961	15628	617
962	15646	601
963	15660	584
964	15676	568
965	15693	552
966	15708	536
967	15727	519
968	15744	503
969	15761	487
970	15778	471
971	15794	454
972	15810	438
973	15825	422
974	15841	406
975	15856	389
976	15873	373
977	15887	357
978	15902	341
979	15920	324
980	15935	308
981	15953	292
982	15969	276
983	15984	259
984	16001	243
985	16016	227
986	16031	211
987	16047	194
988	16062	178
989	16079	162
990	16096	146
991	16110	129
992	16128	113
993	16145	97
994	16164	81
995	16180	64
996	16196	48
997	16212	32
998	16229	16
999	16243	0
